차량ID,연비,연료타입,차급,외형,엔진,가격,이미지,출력,URL
 2018 링컨 MKZ(2세대),9.6 ~ 16.3km/ℓ,"가솔린,가솔린/하이브리드",중형,세단,FF,5910,http://file.carisyou.com/upload/2018/07/06/FILE_201807060212546680.png,142마력,https://www.carisyou.com/car/5766/Spec
 2018 포르쉐 911(7세대),7.9 ~ 9.4km/ℓ,가솔린,준중형,"컨버터블,쿠페외형전체>",RR,28080,http://file.carisyou.com/upload/2018/07/05/FILE_201807050238155110.png,370마력,https://www.carisyou.com/car/5765/Spec
 2018 아우디 A4(5세대),14.0 ~ 15.5km/ℓ,디젤,준중형,세단,FF,5613,http://file.carisyou.com/upload/2018/07/02/FILE_201807020313003460.png,150마력,https://www.carisyou.com/car/5764/Spec
 2019 애스턴마틴 DBS,7.8km/ℓ,가솔린,중형,쿠페,FR,34300,http://file.carisyou.com/upload/2018/07/02/FILE_201807020119191340.png,725마력,https://www.carisyou.com/car/5763/Spec
 2007 닷지 캘리버,9.9km/ℓ,가솔린,준중형,해치백,FF,2690,http://file.carisyou.com/newcar/color/3263_dodge_caliber2008_0.jpg,158마력,https://www.carisyou.com/car/5762/Spec
 2018 애스턴마틴 뱅퀴시(2세대),7.4 ~ 7.8km/ℓ,가솔린,중형,"컨버터블,쿠페,해치백외형전체>",FR,83000,http://file.carisyou.com/upload/2018/06/15/FILE_201806150323346680.png,576마력,https://www.carisyou.com/car/5758/Spec
 2018 벤츠 C클래스(4세대),7.5 ~ 14.7km/ℓ,"가솔린,디젤",준중형,"세단,컨버터블,쿠페외형전체>",FR,13830,http://file.carisyou.com/upload/2018/06/12/FILE_201806120615183200.png,184마력,https://www.carisyou.com/car/5757/Spec
 2019 BMW X5(4세대),9.7 ~ 10.0km/ℓ,"가솔린,디젤",중형,SUV,4WD,13890,http://file.carisyou.com/upload/2018/06/12/FILE_201806120139060130.png,340마력,https://www.carisyou.com/car/5756/Spec
 2018 렉서스 ES(7세대),17.0km/ℓ,가솔린/하이브리드,중형,세단,FF,6680,http://file.carisyou.com/upload/2018/06/07/FILE_201806070741488030.png,178마력,https://www.carisyou.com/car/5755/Spec
 2019 닛산 엑스트레일(3세대),10.6 ~ 11.1km/ℓ,가솔린,준중형,SUV,FF,4120,http://file.carisyou.com/upload/2018/06/07/FILE_201806070617291820.png,172마력,https://www.carisyou.com/car/5754/Spec
 2018 미니 미니 컨버터블(3세대),11.9km/ℓ,가솔린,소형,컨버터블,FF,5570,http://file.carisyou.com/upload/2018/06/07/FILE_201806070431300720.png,136마력,https://www.carisyou.com/car/5753/Spec
 2018 기아 니로 EV,5.3 ~ 5.5km/kwh,전기,소형,SUV,2WD,4980,http://file.carisyou.com/upload/2018/08/30/FILE_201808300447362560.png,-마력,https://www.carisyou.com/car/5751/Spec
 2019 볼보 S90,10.8 ~ 13.2km/ℓ,"가솔린,가솔린/하이브리드,디젤",준대형,세단,FF,9900,http://file.carisyou.com/upload/2018/06/05/FILE_201806050422050990.png,254마력,https://www.carisyou.com/car/5750/Spec
 2019 볼보 XC60(2세대),9.4 ~ 12.9km/ℓ,"가솔린,가솔린/하이브리드,디젤",중형,SUV,4WD,8320,http://file.carisyou.com/upload/2018/06/05/FILE_201806050137485750.png,235마력,https://www.carisyou.com/car/5749/Spec
 2018 시트로엥 그랜드 C4 피카소(2세대),12.9 ~ 14.2km/ℓ,디젤,준중형,RV,FF,4939,http://file.carisyou.com/upload/2018/06/05/FILE_201806051058023460.png,120마력,https://www.carisyou.com/car/5748/Spec
 2018 KGM 뉴 스타일 코란도 C,11.8 ~ 14.3km/ℓ,디젤,준중형,SUV,FF,2940,http://file.carisyou.com/upload/2018/09/19/FILE_201809191052570790.png,178마력,https://www.carisyou.com/car/5747/Spec
 2018 현대 뉴 i40,10.4 ~ 11.3km/ℓ,가솔린,중형,"세단,왜건외형전체>",FF,2825,http://file.carisyou.com/upload/2018/06/01/FILE_201806011120512530.png,166마력,https://www.carisyou.com/car/5745/Spec
 2018 지프 레니게이드,10.0 ~ 11.6km/ℓ,"가솔린,디젤",소형,SUV,FF,4340,http://file.carisyou.com/upload/2018/05/24/FILE_201805240313456900.png,175마력,https://www.carisyou.com/car/5744/Spec
 2019 기아 스팅어,8.8 ~ 15.0km/ℓ,"가솔린,디젤",중형,세단,FR,4948,http://file.carisyou.com/upload/2018/09/19/FILE_201809191012582050.png,255마력,https://www.carisyou.com/car/5743/Spec
 2019 기아 스포티지 더 볼드,10.5 ~ 16.3km/ℓ,"가솔린,디젤",준중형,SUV,FF,3244,http://file.carisyou.com/upload/2018/07/31/FILE_201807311010477040.png,152마력,https://www.carisyou.com/car/5742/Spec
 2019 쉐보레 뉴 스파크(M450),15.0km/ℓ,가솔린,경형,해치백,FF,1487,http://file.carisyou.com/upload/2018/09/19/FILE_201809191117220440.png,75마력,https://www.carisyou.com/car/5741/Spec
 2010 한국지엠 뉴 라보,12.3km/ℓ,엘피지,경형,트럭,FR,939,http://file.carisyou.com/newcar/color/3514_gmdaewoo_newlabo2008_100.jpg,43마력,https://www.carisyou.com/car/5739/Spec
 2018 벤츠 스프린터,"-
									
									
								
								
							
							
						",디젤,준중형,버스,FR,16940,http://file.carisyou.com/upload/2018/05/15/FILE_201805150326124650.png,190마력,https://www.carisyou.com/car/5738/Spec
 2018 기아 뉴 K5 하이브리드(JF),17.2 ~ 18.0km/ℓ,가솔린/하이브리드,중형,세단,FF,3291,http://file.carisyou.com/upload/2018/05/15/FILE_201805151052044130.png,156마력,https://www.carisyou.com/car/5737/Spec
 2009 BMW X6(1세대),7.0 ~ 10.5km/ℓ,"가솔린,디젤",중형,SUV,4WD,12990,http://file.carisyou.com/newcar/color/3432_bmw_x62008_100.jpg,235마력,https://www.carisyou.com/car/5735/Spec
 2019 롤스로이스 컬리넌,5.6km/ℓ,가솔린,대형,SUV,4WD,46900,http://file.carisyou.com/upload/2018/05/11/FILE_201805111106074850.png,563마력,https://www.carisyou.com/car/5733/Spec
 2018 동풍소콘 C35,9.7km/ℓ,가솔린,소형,버스,FR,1560,http://file.carisyou.com/upload/2018/05/10/FILE_201805100604393290.png,101마력,https://www.carisyou.com/car/5732/Spec
 2018 동풍소콘 C32,10.0km/ℓ,가솔린,소형,트럭,FR,1350,http://file.carisyou.com/upload/2018/05/10/FILE_201805100525252280.png,101마력,https://www.carisyou.com/car/5731/Spec
 2018 동풍소콘 C31,10.0km/ℓ,가솔린,소형,트럭,FR,1250,http://file.carisyou.com/upload/2018/05/10/FILE_201805100441159910.png,101마력,https://www.carisyou.com/car/5730/Spec
 2018 동풍소콘 K01,10.1km/ℓ,가솔린,소형,트럭,FR,1110,http://file.carisyou.com/upload/2018/05/10/FILE_201805100303138570.png,80마력,https://www.carisyou.com/car/5729/Spec
 2018 BMW 7시리즈(6세대),6.6 ~ 12.2km/ℓ,"가솔린,가솔린/하이브리드,디젤",대형,세단,4WD,22210,http://file.carisyou.com/upload/2018/05/08/FILE_201805080353169770.png,265마력,https://www.carisyou.com/car/5728/Spec
 2018 현대 엑센트(RB),13.1 ~ 18.2km/ℓ,"가솔린,디젤",소형,"세단,해치백외형전체>",FF,1928,http://file.carisyou.com/upload/2018/09/19/FILE_201809191017448580.png,100마력,https://www.carisyou.com/car/5727/Spec
 2019 르노코리아 QM6,11.2 ~ 12.8km/ℓ,"가솔린,디젤",중형,SUV,FF,3446,http://file.carisyou.com/upload/2018/09/19/FILE_201809191042039590.png,144마력,https://www.carisyou.com/car/5726/Spec
 2018 닛산 맥시마(8세대),9.9km/ℓ,가솔린,중형,세단,FF,4430,http://file.carisyou.com/upload/2018/05/02/FILE_201805021021506490.PNG,303마력,https://www.carisyou.com/car/5725/Spec
 2009 BMW X5(2세대),6.7 ~ 10.5km/ℓ,"가솔린,디젤",중형,SUV,4WD,12490,http://file.carisyou.com/newcar/color/3535_bmw_x52008_0.jpg,235마력,https://www.carisyou.com/car/5724/Spec
 2018 혼다 어코드(10세대),10.8 ~ 18.9km/ℓ,"가솔린,가솔린/하이브리드",중형,세단,FF,4470,http://file.carisyou.com/upload/2018/04/27/FILE_201804271122123480.png,194마력,https://www.carisyou.com/car/5723/Spec
 2019 기아 뉴 쏘렌토(UM),8.7 ~ 13.8km/ℓ,"가솔린,디젤",중형,SUV,FF,3774,http://file.carisyou.com/upload/2018/04/26/FILE_201804261012170730.png,240마력,https://www.carisyou.com/car/5722/Spec
 2018 BMW X5(3세대),9.4 ~ 10.5km/ℓ,"가솔린/하이브리드,디젤",중형,SUV,4WD,11080,http://file.carisyou.com/upload/2018/04/25/FILE_201804250344287310.png,258마력,https://www.carisyou.com/car/5721/Spec
 2018 르노코리아 클리오,17.7km/ℓ,디젤,소형,해치백,FF,2278,http://file.carisyou.com/upload/2018/09/19/FILE_201809191050523430.png,90마력,https://www.carisyou.com/car/5720/Spec
 2019 토요타 아발론(5세대),16.6km/ℓ,가솔린/하이브리드,준대형,세단,FF,4740,http://file.carisyou.com/upload/2020/03/12/FILE_202003120207565300.png,178마력,https://www.carisyou.com/car/5719/Spec
 2018 폭스바겐 파사트(7세대),12.1km/ℓ,가솔린,중형,세단,FF,3613,http://file.carisyou.com/upload/2018/08/02/FILE_201808020142237620.png,177마력,https://www.carisyou.com/car/5718/Spec
 2018 폭스바겐 티구안(2세대),13.1 ~ 14.5km/ℓ,디젤,준중형,SUV,FF,4694,http://file.carisyou.com/upload/2018/04/18/FILE_201804180113075480.png,150마력,https://www.carisyou.com/car/5717/Spec
 2018 북기은상 CK 미니트럭,9.1km/ℓ,가솔린,준중형,픽업트럭,FR,1085,http://file.carisyou.com/upload/2018/06/11/FILE_201806111150310220.png,89마력,https://www.carisyou.com/car/5715/Spec
 2018 북기은상 CK 미니밴,10.3km/ℓ,가솔린,소형,버스,FR,1140,http://file.carisyou.com/upload/2018/04/11/FILE_201804110218435300.png,89마력,https://www.carisyou.com/car/5714/Spec
 2018 현대 뉴 투싼,10.4 ~ 16.3km/ℓ,"가솔린,디젤",준중형,SUV,FF,3161,http://file.carisyou.com/upload/2020/01/28/FILE_202001280138487120.png,177마력,https://www.carisyou.com/car/5713/Spec
 2019 토요타 RAV4(5세대),11.4 ~ 15.9km/ℓ,"가솔린,가솔린/하이브리드",준중형,SUV,FF,4627,http://file.carisyou.com/upload/2019/03/26/FILE_201903261015006040.png,207마력,https://www.carisyou.com/car/5712/Spec
 2018 쉐보레 볼트,17.8km/ℓ,가솔린/하이브리드,준중형,해치백,FF,3636,http://file.carisyou.com/upload/2018/09/19/FILE_201809191122101730.png,102마력,https://www.carisyou.com/car/5710/Spec
 2018 지프 체로키(5세대),9.2km/ℓ,"가솔린,디젤",준중형,SUV,4WD,4790,http://file.carisyou.com/upload/2018/04/06/FILE_201804060345113190.png,271마력,https://www.carisyou.com/car/5709/Spec
 2018 랜드로버 레인지로버 스포츠(2세대),6.1 ~ 10.7km/ℓ,"가솔린,디젤",중형,SUV,4WD,18800,http://file.carisyou.com/upload/2018/04/05/FILE_201804050702414510.png,306마력,https://www.carisyou.com/car/5708/Spec
 2018 랜드로버 레인지로버(4세대),5.6 ~ 8.0km/ℓ,"가솔린,디젤",대형,SUV,4WD,3800,http://file.carisyou.com/upload/2018/04/06/FILE_201804060327494090.png,339마력,https://www.carisyou.com/car/5707/Spec
 2018 미니 미니 해치(3세대),11.9 ~ 16.9km/ℓ,"가솔린,디젤",소형,해치백,FF,4540,http://file.carisyou.com/upload/2018/04/02/FILE_201804020417388380.png,136마력,https://www.carisyou.com/car/5706/Spec
 2018 인피니티 Q60(2세대),9.6km/ℓ,가솔린,중형,쿠페,FR,6970,http://file.carisyou.com/upload/2018/03/28/FILE_201803280543054970.png,405마력,https://www.carisyou.com/car/5705/Spec
 2018 재규어 F-페이스,8.5 ~ 12.8km/ℓ,"가솔린,디젤",중형,SUV,4WD,1340,http://file.carisyou.com/upload/2018/03/28/FILE_201803280354523780.png,550마력,https://www.carisyou.com/car/5704/Spec
 2019 페라리 488 피스타,6.7km/ℓ,가솔린,중형,쿠페,MR,39800,http://file.carisyou.com/upload/2018/03/27/FILE_201803271101403690.png,720마력,https://www.carisyou.com/car/5703/Spec
 2018 볼보 XC90(2세대),8.8 ~ 10.9km/ℓ,"가솔린,가솔린/하이브리드,디젤",준대형,SUV,4WD,13780,http://file.carisyou.com/upload/2018/03/26/FILE_201803260423526450.png,235마력,https://www.carisyou.com/car/5702/Spec
 2018 아우디 A6(7세대),9.7 ~ 14.6km/ℓ,"가솔린,디젤",중형,세단,FF,7660,http://file.carisyou.com/upload/2018/03/26/FILE_201803261056268300.png,252마력,https://www.carisyou.com/car/5700/Spec
 2018 벤츠 AMG GT,7.3km/ℓ,가솔린,중형,쿠페,FR,21000,http://file.carisyou.com/upload/2018/03/22/FILE_201803220318109820.png,476마력,https://www.carisyou.com/car/5699/Spec
 2018 현대 아이오닉 플러그인,21.1km/ℓ,가솔린/하이브리드,준중형,해치백,FF,3360,http://file.carisyou.com/upload/2018/03/22/FILE_201803221125440950.png,105마력,https://www.carisyou.com/car/5698/Spec
 2018 현대 아이오닉 하이브리드,22.4km/ℓ,가솔린/하이브리드,준중형,해치백,FF,2608,http://file.carisyou.com/upload/2018/03/22/FILE_201803221039153900.png,105마력,https://www.carisyou.com/car/5697/Spec
 2018 포드 머스탱(6세대),7.5 ~ 9.4km/ℓ,가솔린,중형,"컨버터블,쿠페외형전체>",FR,6840,https://file.carisyou.com/upload/2018/03/20/FILE_201803200302568300.png,291마력,https://www.carisyou.com/car/5696/Spec
 2018 기아 K9(RJ),7.5 ~ 9.0km/ℓ,가솔린,대형,세단,FR,9159,http://file.carisyou.com/upload/2018/04/03/FILE_201804030126356050.png,315마력,https://www.carisyou.com/car/5695/Spec
 2018 볼보 V90 크로스 컨트리,10.9 ~ 13.3km/ℓ,"가솔린,디젤",중형,왜건,4WD,7690,http://file.carisyou.com/upload/2018/03/19/FILE_201803191053083850.png,254마력,https://www.carisyou.com/car/5694/Spec
 2018 토요타 시에나(3세대),8.2 ~ 8.6km/ℓ,가솔린,대형,RV,FF,5723,http://file.carisyou.com/upload/2018/03/16/FILE_201803160317098230.png,301마력,https://www.carisyou.com/car/5693/Spec
 2018 인피니티 QX60,8.3 ~ 10.5km/ℓ,"가솔린,가솔린/하이브리드",준대형,SUV,FF,6900,http://file.carisyou.com/upload/2018/03/15/FILE_201803150215210820.png,269마력,https://www.carisyou.com/car/5692/Spec
 2018 현대 쏘나타 뉴 라이즈 플러그인(LF),17.1km/ℓ,가솔린/하이브리드,중형,세단,FF,4205,http://file.carisyou.com/upload/2018/09/19/FILE_201809191047363020.png,156마력,https://www.carisyou.com/car/5690/Spec
 2018 현대 쏘나타 뉴 라이즈 하이브리드(LF),17.4 ~ 18.0km/ℓ,가솔린/하이브리드,중형,세단,FF,3299,http://file.carisyou.com/upload/2018/09/19/FILE_201809191045086630.png,156마력,https://www.carisyou.com/car/5689/Spec
 2018 현대 쏘나타 뉴 라이즈(LF),9.4 ~ 16.1km/ℓ,"가솔린,디젤,엘피지",중형,세단,FF,3233,http://file.carisyou.com/upload/2018/09/19/FILE_201809191042113220.png,163마력,https://www.carisyou.com/car/5688/Spec
 2018 캐딜락 에스컬레이드(4세대),6.9km/ℓ,가솔린,대형,SUV,4WD,13099,http://file.carisyou.com/upload/2018/06/20/FILE_201806200324074810.png,426마력,https://www.carisyou.com/car/5687/Spec
 2018 캐딜락 XT5,8.9km/ℓ,가솔린,중형,SUV,4WD,7393,http://file.carisyou.com/upload/2018/03/13/FILE_201803130407249740.PNG,314마력,https://www.carisyou.com/car/5686/Spec
 2018 캐딜락 CTS-V(3세대),6.7km/ℓ,가솔린,중형,세단,FR,12137,http://file.carisyou.com/upload/2018/03/13/FILE_201803130310210540.png,648마력,https://www.carisyou.com/car/5685/Spec
 2017 캐딜락 CTS(3세대),9.4 ~ 10.5km/ℓ,가솔린,중형,세단,FR,7320,http://file.carisyou.com/upload/2018/03/13/FILE_201803130247582080.png,276마력,https://www.carisyou.com/car/5684/Spec
 2017 캐딜락 ATS,10.3 ~ 11.0km/ℓ,가솔린,준중형,"세단,쿠페외형전체>",FR,5450,http://file.carisyou.com/upload/2018/03/13/FILE_201803130155101940.png,272마력,https://www.carisyou.com/car/5683/Spec
 2019 기아 뉴 카니발(YP),7.6 ~ 11.4km/ℓ,"가솔린,디젤",대형,RV,FF,5987,http://file.carisyou.com/upload/2018/03/13/FILE_201803131020044290.png,202마력,https://www.carisyou.com/car/5682/Spec
 2020 아우디 A6(8세대),11.4 ~ 15.8km/ℓ,"가솔린,디젤",중형,세단,FF,8496,http://file.carisyou.com/upload/2018/08/30/FILE_201808300516342920.png,252마력,https://www.carisyou.com/car/5680/Spec
 2018 애스턴마틴 라피드,7.8km/ℓ,가솔린,대형,세단,FR,3,http://file.carisyou.com/upload/2018/03/05/FILE_201803050119098370.png,560마력,https://www.carisyou.com/car/5678/Spec
 2019 재규어 I-페이스,3.5km/kwh,전기,중형,SUV,4WD,12810,http://file.carisyou.com/upload/2018/03/05/FILE_201803050300430570.png,400마력,https://www.carisyou.com/car/5677/Spec
 2019 르노코리아 SM6,9.0 ~ 17.0km/ℓ,"가솔린,디젤,엘피지",중형,세단,FF,3210,http://file.carisyou.com/upload/2018/09/19/FILE_201809191040115830.png,140마력,https://www.carisyou.com/car/5676/Spec
 2018 애스턴마틴 밴티지(2세대),7.0km/ℓ,가솔린,준중형,"컨버터블,쿠페외형전체>",FR,25900,http://file.carisyou.com/upload/2018/02/27/FILE_201802270438248800.png,603마력,https://www.carisyou.com/car/5675/Spec
 2018 테슬라 모델 S,3.8 ~ 4.3km/kwh,전기,중형,해치백,4WD,18120,http://file.carisyou.com/upload/2018/02/26/FILE_201802260326189020.png,-마력,https://www.carisyou.com/car/5674/Spec
 2018 쯔더우 D2,5.2km/kwh,전기,경형,해치백,2WD,2200,http://file.carisyou.com/upload/2018/02/22/FILE_201802220344567330.png,-마력,https://www.carisyou.com/car/5672/Spec
 2018 현대 코나 일렉트릭,5.6 ~ 5.8km/kwh,전기,소형,SUV,2WD,4850,http://file.carisyou.com/upload/2018/02/28/FILE_201802281108418640.png,-마력,https://www.carisyou.com/car/5670/Spec
 2019 BMW X4(2세대),10.7 ~ 11.5km/ℓ,디젤,준중형,SUV,4WD,9150,http://file.carisyou.com/upload/2018/02/19/FILE_201802190212201370.png,190마력,https://www.carisyou.com/car/5669/Spec
 2019 벤츠 마이바흐 S클래스(6세대),6.3 ~ 8.1km/ℓ,가솔린,대형,세단,4WD,31610,http://file.carisyou.com/upload/2019/04/09/FILE_201904091113428600.png,469마력,https://www.carisyou.com/car/5668/Spec
 2018 마세라티 그란카브리오,6.1km/ℓ,가솔린,중형,컨버터블,FR,25090,http://file.carisyou.com/upload/2018/02/12/FILE_201802120254209630.png,460마력,https://www.carisyou.com/car/5667/Spec
 2018 마세라티 그란투리스모,6.2km/ℓ,가솔린,중형,쿠페,FR,23140,http://file.carisyou.com/upload/2018/02/12/FILE_201802121258565410.png,460마력,https://www.carisyou.com/car/5666/Spec
 2018 푸조 308(2세대),13.3 ~ 15.3km/ℓ,디젤,준중형,"왜건,해치백외형전체>",FF,3948,http://file.carisyou.com/upload/2018/02/07/FILE_201802071048451330.png,120마력,https://www.carisyou.com/car/5665/Spec
 2018 현대 싼타페(TM),9.0 ~ 13.8km/ℓ,"가솔린,디젤",중형,SUV,FF,4241,http://file.carisyou.com/upload/2018/09/19/FILE_201809191108056470.png,235마력,https://www.carisyou.com/car/5664/Spec
 2018 랜드로버 디스커버리,9.4 ~ 12.8km/ℓ,디젤,중형,SUV,4WD,1820,http://file.carisyou.com/upload/2018/02/05/FILE_201802050255071080.png,240마력,https://www.carisyou.com/car/5662/Spec
 2018 KGM 티볼리 에어,10.0 ~ 15.7km/ℓ,"가솔린,디젤",준중형,SUV,FF,2661,http://file.carisyou.com/upload/2018/02/02/FILE_201802021201580360.png,126마력,https://www.carisyou.com/car/5661/Spec
 2017 KGM 티볼리 아머,10.7 ~ 14.7km/ℓ,"가솔린,디젤",소형,SUV,FF,2580,http://file.carisyou.com/upload/2018/09/19/FILE_201809191101302140.png,126마력,https://www.carisyou.com/car/5660/Spec
 2018 벤츠 GLC(2세대),8.1 ~ 12.9km/ℓ,"가솔린,가솔린/하이브리드,디젤",준중형,SUV,4WD,9750,http://file.carisyou.com/upload/2018/01/19/FILE_201801190300071190.png,510마력,https://www.carisyou.com/car/5659/Spec
 2019 기아 뉴 K5(JF),9.4 ~ 16.1km/ℓ,"가솔린,디젤,엘피지",중형,세단,FF,3092,http://file.carisyou.com/upload/2018/01/25/FILE_201801251139431290.png,163마력,https://www.carisyou.com/car/5658/Spec
 2018 벤츠 E클래스(5세대),7.3 ~ 15.1km/ℓ,"가솔린,디젤",중형,"세단,컨버터블,쿠페외형전체>",FR,15200,http://file.carisyou.com/upload/2018/01/18/FILE_201801181106340490.png,184마력,https://www.carisyou.com/car/5656/Spec
 2018 폭스바겐 파사트 GT(8세대),13.6 ~ 15.1km/ℓ,디젤,중형,세단,FF,5219,http://file.carisyou.com/upload/2018/01/17/FILE_201801170151043490.png,190마력,https://www.carisyou.com/car/5655/Spec
 2018 마세라티 르반떼,6.4 ~ 9.5km/ℓ,"가솔린,디젤",대형,SUV,4WD,16590,http://file.carisyou.com/upload/2018/01/16/FILE_201801160547520320.png,275마력,https://www.carisyou.com/car/5654/Spec
 2018 마세라티 콰트로포르테(6세대),6.6 ~ 10.9km/ℓ,"가솔린,디젤",대형,세단,FR,23700,http://file.carisyou.com/upload/2018/01/16/FILE_201801160523359370.png,275마력,https://www.carisyou.com/car/5653/Spec
 2018 벤츠 B클래스(2세대),11.1 ~ 14.8km/ℓ,"가솔린,디젤",준중형,RV,FF,4300,http://file.carisyou.com/upload/2018/01/16/FILE_201801160300086830.png,184마력,https://www.carisyou.com/car/5652/Spec
 2018 현대 벨로스터 N,10.5 ~ 10.7km/ℓ,가솔린,준중형,해치백,FF,3038,http://file.carisyou.com/upload/2018/01/17/FILE_201801170143518460.png,250마력,https://www.carisyou.com/car/5651/Spec
 2018 현대 벨로스터(JS),12.6 ~ 13.1km/ℓ,가솔린,준중형,해치백,FF,2635,http://file.carisyou.com/upload/2018/09/19/FILE_201809191126520780.png,140마력,https://www.carisyou.com/car/5650/Spec
 2018 노블클라쎄 쏠라티,"-
									
									
								
								
							
							
						",디젤,준중형,버스,FR,16300,http://file.carisyou.com/upload/2018/01/15/FILE_201801150558049520.png,170마력,https://www.carisyou.com/car/5649/Spec
 2018 기아 K3(BD),14.4 ~ 15.2km/ℓ,가솔린,준중형,세단,FF,2179,http://file.carisyou.com/upload/2018/01/15/FILE_201801150445135140.png,123마력,https://www.carisyou.com/car/5648/Spec
 2018 현대 아이오닉 일렉트릭,6.3km/kwh,전기,준중형,해치백,2WD,4215,http://file.carisyou.com/upload/2018/01/15/FILE_201801150256145660.png,-마력,https://www.carisyou.com/car/5647/Spec
 2018 포드 익스플로러(5세대),7.6 ~ 7.9km/ℓ,가솔린,대형,SUV,4WD,5710,http://file.carisyou.com/upload/2018/01/15/FILE_201801150233157510.png,294마력,https://www.carisyou.com/car/5646/Spec
 2018 쉐보레 볼트 EV,5.5km/kwh,전기,소형,해치백,2WD,4779,http://file.carisyou.com/upload/2018/09/19/FILE_201809191128004430.png,-마력,https://www.carisyou.com/car/5645/Spec
 2018 지프 그랜드 체로키(4세대),7.8 ~ 10.6km/ℓ,"가솔린,디젤",중형,SUV,4WD,8140,http://file.carisyou.com/upload/2018/01/11/FILE_201801110144471690.png,286마력,https://www.carisyou.com/car/5643/Spec
 2018 현대 넥쏘,93.7 ~ 96.2km/kg,수소,준중형,SUV,FF,7220,http://file.carisyou.com/upload/2018/01/10/FILE_201801101202571660.png,-마력,https://www.carisyou.com/car/5642/Spec
 2018 BMW i3,5.4km/kwh,전기,소형,해치백,2WD,6560,http://file.carisyou.com/upload/2018/01/04/FILE_201801040444017090.png,-마력,https://www.carisyou.com/car/5641/Spec
 2018 KGM 코란도 투리스모,9.8 ~ 10.6km/ℓ,디젤,대형,RV,FR,5220,http://file.carisyou.com/upload/2018/09/19/FILE_201809191058174650.png,178마력,https://www.carisyou.com/car/5640/Spec
 2018 토요타 프리우스 C(4세대),19.4km/ℓ,가솔린/하이브리드,소형,해치백,FF,2490,http://file.carisyou.com/upload/2018/01/02/FILE_201801020436275470.png,72마력,https://www.carisyou.com/car/5639/Spec
 2018 KGM 렉스턴 스포츠,9.8 ~ 11.0km/ℓ,디젤,대형,픽업트럭,FR,3238,http://file.carisyou.com/upload/2018/09/19/FILE_201809191107025260.png,181마력,https://www.carisyou.com/car/5638/Spec
 2018 시트로엥 C4 칵투스,17.5km/ℓ,"가솔린,디젤",소형,SUV,FF,2790,http://file.carisyou.com/upload/2017/12/28/FILE_201712280442191940.png,131마력,https://www.carisyou.com/car/5636/Spec
 2018 재규어 F-타입,"-
									
									
								
								
							
							
						",가솔린,준중형,컨버터블,FR,22460,http://file.carisyou.com/upload/2017/12/28/FILE_201712281017266230.png,575마력,https://www.carisyou.com/car/5635/Spec
 2020 아우디 A7(2세대),9.5 ~ 10.6km/ℓ,"가솔린,디젤",준대형,해치백,4WD,9900,http://file.carisyou.com/upload/2017/12/27/FILE_201712270421049650.png,231마력,https://www.carisyou.com/car/5634/Spec
 2019 BMW i8,17.4km/ℓ,가솔린/하이브리드,중형,"컨버터블,쿠페외형전체>",4WD,22370,http://file.carisyou.com/upload/2019/02/08/FILE_201902080601106460.png,231마력,https://www.carisyou.com/car/5633/Spec
 2019 인피니티 QX50(2세대),9.8 ~ 10.3km/ℓ,가솔린,준중형,SUV,FR,6277,http://file.carisyou.com/upload/2017/12/22/FILE_201712220453074180.png,272마력,https://www.carisyou.com/car/5632/Spec
 2018 현대 뉴 그랜드 스타렉스,5.8 ~ 11.0km/ℓ,"디젤,엘피지",소형,버스,FR,6689,http://file.carisyou.com/upload/2018/10/04/FILE_201810040121372110.png,140마력,https://www.carisyou.com/car/5631/Spec
 2018 BMW 3시리즈 그란 투리스모(6세대),13.5 ~ 14.2km/ℓ,디젤,중형,해치백,FR,6420,http://file.carisyou.com/upload/2017/12/20/FILE_201712201009025400.png,190마력,https://www.carisyou.com/car/5630/Spec
 2018 지프 랭글러(4세대),8.2 ~ 9.0km/ℓ,가솔린,중형,SUV,4WD,6170,http://file.carisyou.com/upload/2017/12/15/FILE_201712150606418180.png,272마력,https://www.carisyou.com/car/5626/Spec
 2018 기아 뉴 레이,10.5 ~ 13.0km/ℓ,"가솔린,엘피지",경형,RV,FF,1670,http://file.carisyou.com/upload/2017/12/13/FILE_201712130337109730.png,78마력,https://www.carisyou.com/car/5625/Spec
 2019 맥라렌 세나,8.5km/ℓ,가솔린,중형,쿠페,MR,10,http://file.carisyou.com/upload/2017/12/12/FILE_201712120316559630.png,800마력,https://www.carisyou.com/car/5624/Spec
 2018 재규어 F-타입,7.5 ~ 9.8km/ℓ,가솔린,준중형,"컨버터블,쿠페외형전체>",FR,22340,http://file.carisyou.com/upload/2017/12/11/FILE_201712110613214380.png,300마력,https://www.carisyou.com/car/5623/Spec
 2019 람보르기니 우루스,6.3km/ℓ,가솔린,대형,SUV,4WD,25000,http://file.carisyou.com/upload/2017/12/06/FILE_201712060117199600.png,650마력,https://www.carisyou.com/car/5622/Spec
 2018 현대 뉴 맥스크루즈,8.0 ~ 12.5km/ℓ,"가솔린,디젤",준대형,SUV,FF,4417,http://file.carisyou.com/upload/2017/12/04/FILE_201712040345134990.png,290마력,https://www.carisyou.com/car/5621/Spec
